,lat,lon,name
1127,49.2781671,-122.814146,Tim Hortons
1128,49.2809895,-123.0488387,Chatime
1132,49.2591796,-123.1389048,Bean Around The World
1134,49.2588402,-123.2480899,Bean Around The World
1135,49.3377971,-123.1010057,Caffè Artigiano
1140,49.2770021,-122.7952609,Starbucks
1141,49.2811674,-123.1242959,Tim Hortons
1147,49.2606832,-123.0332114,Tim Hortons
1149,49.225606,-122.996611,Coco
1155,49.2682772,-123.149734,Sharetea
1156,49.2489019,-122.8184783,Starbucks
1157,49.2698048,-123.0444633,Sharetea
1158,49.2521186,-122.8933488,Tim Hortons
1161,49.2636865,-123.2079361,Bean Around The World
1165,49.254425,-123.023305,Starbucks
1167,49.1921109,-122.7892767,Blenz Coffee
1168,49.2761813,-123.1194321,Sharetea
1172,49.0562872,-122.804429,Chatime
1174,49.2803846,-123.130937,Starbucks
1175,49.1390281,-123.138397,Starbucks
1179,49.2874193,-123.1145811,Tim Hortons
1182,49.0502944,-122.8007009,Blenz Coffee
1186,49.1343267,-122.8859602,Tim Hortons
1187,49.1749437,-122.08026,Tim Hortons
1189,49.2805958,-122.9749008,Tim Hortons
1198,49.177585,-122.756164,Tim Hortons
1202,49.0509808,-122.324677,Starbucks
1203,49.2668159,-123.0020976,Starbucks
1205,49.1291837,-122.322631,Starbucks
1210,49.2193523,-122.9277706,Tim Hortons
1215,49.179436,-122.8334679,Blenz Coffee
1223,49.264044,-123.174166,Tim Hortons
1225,49.2843787,-123.1085645,Starbucks
